	Target untapped creature controlled by the active player can't attack unless defending player controls an Island. Sacrifice an Island. Target land a player controls becomes an Island this combat. When the active player controls no Islands, he or she sacrifices a creature.	Kukemssa Serpent	
	Target untapped creature gets +0/+1 this combat.	Kyscu Drake	
	Whenever a creature is blocked this combat, tap all other creatures the active player controls.	Labyrinth Minotaur	
	Tap a creature you control. Chaos deals 3 damage to target attacking or blocking creature. Play this effect after blockers are declared.	Lady Caleria	
	Tap a creature you control. Prevent all combat damage that would be dealt by target creature this turn.	Lady Evangela	
	Create a 7/4 black and red Demon creature token. Blockers may be reassigned.	Lady Orca	
	Tap a creature you control. Return that creature and another target creature to their owners' hands.	Lady Sun	
	Create a 4/3 green Human Soldier Warrior creature token with horsemanship. Blockers may be reassigned.	Lady Zhurong, Warrior Queen	
	Tap a land you control. Choose one - Add B to your mana pool; or Sacrifice a Swamp and add BBBB to your mana pool.	Lake of the Dead	
	Target creature in combat gets first strike until end of turn.	Lance	
	If you control less lands than the player who controls the most lands, you may search your library for a land card and put it onto the battlefield. If you control the most lands, sacrifice a land.	Land Equilibrium	
	Create a 2/2 green Leech creature token with first strike. Blockers may be reassigned.	Land Leeches	
	If an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, and put them into your hand. If you do, shuffle your library.	Land Tax	
	Choose a land type. Remove from play all lands of that type that you control. Drop those cards, one at a time, onto the playing area from a height of at least one foot. Destroy each card in play that is completely covered by those cards. Then return to play, tapped, all lands dropped in this way.	Landfill	
	For each land card you discard, Chaos deals 2 damage to target player.	Land's Edge	
	Whenever a blue spell is played this combat, untap target permanent.	Lapis Lazuli Talisman	
	Whenever a creature deals combat damage to a player this combat, that player discards a card.	Larceny	
	Take a turn after this one. At the end of that turn, you lose the game.	Last Chance	
	Shuffle a card from your hand into your library. If you do, draw two cards.	Lat-Nam's Legacy	
	Chaos deals 5 damage to target player.	Lava Axe	
	Tap all lands you control for mana. Spend all mana in your pool on X. Chaos deals X damage to target creature or player. If Chaos would deal damage to a creature, that damage can't be prevented or dealt instead to another creature or player.	Lava Burst	
	Destroy target creature or land.	Lava Flow	
1	If you control a creature, Chaos deals 4 damage to you.	Lava Hounds	
	Choose one - Chaos deals 2 damage to each attacking creature; or Chaos deals 2 damage to each blocking creature.	Lava Storm	
	If you have two or fewer cards in hand, Chaos deals 3 damage to you.	Lavaborn Muse	
	Chaos deals X damage to target player or planeswalker in combat and each creature that player or that planeswalker’s controller controls where X=the number of lands you control.	Lavalanche	
	Target attacker doesn't untap during its controllers next untap step.	Lead Golem	
1	Sacrifice a creature. Put a +2/+2 counter on target creature in combat. It gains trample. (This effect doesn't end at end of turn.)	Lead-Belly Chimera	
	Target creature in combat gains flying and gets -0/-1 this combat.	Leaping Lizard	
	Target player loses all poison counters. Chaos deals 1 damage to that player for each poison counter removed this way.	Leeches	
	Target creature in combat becomes an Aura enchantment with enchant creature. Attach it to target creature. At the beginning of the upkeep of enchanted creature's controller, the Aura deals 1 damage to that player.	Leeching Licid	
	Target creature in combat gets -2/+2 and loses flying this turn.	Leering Gargoyle	
	Remove target permanent from the game.	Legacy Weapon	
	Sacrifice a permanent. Gain control of target creature with power less than or equal to 1d6.	Legacy's Allure	
	Exchange control of target artifact or creature and another target permanent that shares one of those types with it.	Legerdemain	
	Create a 2/3 black Zombie creature token with snow swampwalk. Blockers may be reassigned.	Legions of Lim-Dul	
	Creatures in combat get +1/+1 until end of turn for each other creature their controller controls.	Leonin Armorguard	
	Target creature in combat gets +1/+1 this turn.	Leonin Scimitar	
	Create a 2/2 white Cat Knight creature token with flying. Blockers may be reassigned.	Leonin Skyhunter	
	Target attacker has swampwalk this combat.	Leshrac's Rite	
	If a player controls a green mana source, look at that player's hand and choose a card from it. The player discards that card.	Leshrac's Sigil	
	Each player must sacrifice a land for each creature they have in combat.	Lesser Gargadon	
	If a creature you control in combat has power 1 or more, it gets -1/-0 this combat. If it is an attacker this combat, put a -0/-1 counter on creatures blocking it. If it is a blocker this combat, put a -0/-1 counter on the attacker.	Lesser Werewolf	
	The attacking player sacrifices two lands for each attacking creature.	Leviathan	
	Creatures in combat that you control have flying this combat.	Levitation	
	If a creature damages a player this combat, its controller destroys target card in play, other than the creature doing the damage, with the most lines of text in its text box including flavor text. (If more than one card has the most lines of text, you choose which of those cards to destroy.)	Lexivore	
	Untap target land.	Ley Druid	
	Target creature you control has power equal to the number of creature cards in all graveyards and toughness equal to that number plus 1 this turn.	Lhurgoyf	
	If you have seven cards in your hand, draw a card.	Library of Alexandria	
	An opponent chooses one - You draw three cards; or you search your library for a card, put that card into your hand, then shuffle your library.	Library of Lat-Nam	
	Discard a card, but you may put it on top of your library instead of into your graveyard.	Library of Leng	
	Your life total becomes 0 this combat. You don't lose the game for having 0 or less life. If you would gain life, draw that many cards instead. Whenever you're dealt damage, sacrifice that many permanents. At the end of combat, your life total becomes 1.	Lich	
	Create a 1/1 blue and black Zombie Wizard creature token. Target player in combat loses X life and mills X cards, where X is the number of Zombies you control. Blockers may be reassigned.	Lich Lord of Unx	
	Creatures have wither this combat. Remove a -1/-1 counter from each creature you control.	Lichenthrope	
	Whenever a creature dies this combat, each player may pay any amount of mana. Then each player creates a number of 1/1 green Squirrel creature tokens equal to the amount of mana he or she paid this way.	Liege of the Hollows	
	Sacrifice a creature. You gain life equal to the sacrificed creature's toughness.	Life Chisel	
	Regenerate target creature in combat.	Life Matrix	
	Whenever a Mountain becomes tapped this combat, gain 1 life.	Lifeblood	
	Black spells are countered until end of turn. This effect may not be responded to.	Lifeforce	
	Target permanent in combat becomes green permanently. (Mana symbols on that permanent remain unchanged.)	Lifelace	
	Gain 1 life for each Forest an opponent controls.	Lifetap	
	Remove all black creatures from combat. They can't attack or block this combat.	Light of Day	
	Chaos deals 4 damage to target creature in combat or player.	Lightning Blast	
	Target creature gains first strike this combat. Draw a card.	Lightning Blow	
	Chaos deals 3 damage to any target in combat.	Lightning Bolt	
	Whenever a player plays a red spell this combat, Chaos deals 1 damage to target creature in combat or player.	Lightning Cloud	
	Put a 4/1 red Elemental creature token with haste onto the battlefield. Blockers may be reassigned.	Lightning Elemental	
	Target creature in combat gains fear. Whenever a creature deals combat damage to a player until end of turn, Chaos deals 1 damage to each player. Blockers may be reassigned.	Lightning Reaver	
	Target creature in combat gets +1/+0 and first strike this combat.	Lightning Reflexes	
	Choose one - Lose 1 life and target player discards a card; or Lose 2 life and search your library for a card, then shuffle your library and put that card on top of it; or Lose 8 life and put all creature cards in all graveyards onto the battlefield.	Liliana Vess	
	Creatures in combat can't be regenerated.	Lim-Dul's Cohort	
	Chaos deals 1 damage to each player unless he or she pays B or 3.	Lim-Dul's Hex	
	Regenerate target creature in combat.	Lim-Dul's High Guard	
	Target the active player - Sacrifice a creature unless you discard a card. If you sacrifice a creature this way, draw a card. Target an untapped creature you control. Whenever that creature becomes blocked, it gets +6/+3 this turn. Whenever that creature attacks and isn't blocked, it deals no combat damage this combat and defending player loses 4 life.	Lim-Dul's Paladin	
	Look at the top five cards of your library. As many times as you choose, you may pay 1 life, put those cards on the bottom of your library, then look at the top five cards of your library. Then shuffle your library and put the last cards you looked at this way on top of it in any order.	Lim-Dul's Vault	
	Sacrifice a permanent. Discard your hand. Add three mana of any one color to your mana pool.	Lion's Eye Diamond	
	Creatures you control get +2/+2 as long as you control a white creature.	Liu Bei, Lord of Shu	
	Sacrifice a permanent. Put X +0/+1 counters on target creature, where X is that creature's converted mana cost.	Living Armor	
	You take one less damage from all sources until end of turn.	Living Artifact	
	Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.	Living Death	
	Forests are 1/1 creatures that are still lands until end of turn. Blockers may be reassigned.	Living Lands	
	All lands are 1/1 creatures that are still lands this combat. Blockers may be reassigned.	Living Plane	
	Target land is a 5/6 green Treefolk creature that's still a land. (This effect doesn't end.) Blockers may be reassigned.	Living Terrain	
	Create a 0/6 Wall Artifact creature token with defender and 1: Regenerate. Blockers may be reassigned.	Living Wall	
	Create a 4/4 red and green Human Warrior creature token with first strike and legendary landwalk. Blockers may be reassigned.	Livonya Silone	
	Create a 4/2 red Lizard Warrior creature token. Blockers may be reassigned.	Lizard Warrior	
	Target creature in combat gets +1/+1 this combat for each tapped creature you control.	Llanowar Behemoth	
	Sacrifice a creature. Untap all Forests.	Llanowar Druid	
	Add G to your mana pool. This mana doesn't empty until end of turrn.	Llanowar Elves	
	Search your library for a card with the same name as a creature you control and put that card onto the battlefield. Then shuffle your library.	Llanowar Sentinel	
	Target player reveals his or her hand, then you choose a card other than a basic land card from it. Search that player's graveyard, hand, and library for all cards with the same name as the chosen card and exile them. Then that player shuffles his or her library.	Lobotomy	
	Choose one - Regenerate target creature; or Untap a creature you control.	Locust Swarm	
	Sacrifice a permanent. Put up to four target basic land cards from a player's graveyard on top of his or her library in any order. That player draws a card.	Lodestone Bauble	
	Create a 2/2 green Wolf creature token that may assign its combat damage as if it weren't blocked. Blockers may be reassigned.	Lone Wolf	
	Create a 2/2 white Human Soldier Archer creature token with first strike and reach. Blockers may be reassigned.	Longbow Archer	
	Ban one card, other than a basic land or a commander, for the remainder of the day. (For the remainder of the day, each player removes from the game all copies of that card in play or in any graveyard, hand, library, or sideboard.)	Look at Me, I'm the DCI	
	All black creatures get +1/+1 this turn for each Swamp their controller controls.	Looming Shade	
	Creatures with plainswalk can be blocked as though they didn't have plainswalk this combat. Creatures with forestwalk can be blocked as though they didn't have forestwalk this combat.	Lord Magnus	
	Merfolk creatures get +1/+1 and have islandwalk until end of turn.	Lord of Atlantis	
	Target creature in combat has power and toughness each equal to the number of cards in all graveyards until end of turn.	Lord of Extinction	
	Choose one - Sacrifice a creature; or Chaos deals 7 damage to you. Target creature in combat gets +7/+7, flying, and trample until end of turn. Blockers may be reassigned.	Lord of the Pit	
	Zombie creatures get +1/+1 this combat. Tap a creature you control. Return target Zombie card from your graveyard to your hand.	Lord of the Undead	
	If you control a creature, you lose 2 life, sacrifice two creatures, and an opponent draws two cards. Regenerate a creature you control.	Lord of Tresserhorn	
	Put a number of +1/+1 counters on a creature in combat equal to the number of cards in your hand.	Lorescale Coatl	
	Target creature in combat has power and toughness this turn each equal to 1 plus the number of creatures you control.	Lost Order of Jarkeld	
	Create a 2/1 black Spirit Minion creature token with swampwalk. Blockers may be reassigned.	Lost Soul	
	Sacrifice an artifact. Add one mana of any color to your mana pool.	Lotus Petal	
	Create a 4/3 red Giant creature token. Blockers may be reassigned.	Lowland Giant	
	Tap target creature in combat and remove it from combat.	Loxodon Mystic	
	Target creature gets +3/+0 and has lifelink and trample until end of combat.	Loxodon Warhammer	
	Sacrifice a creature you control. Return target legendary creature card from your graveyard to play.	Loyal Retainers	
	When a creature blocks this combat, destroy both the attacking and blocking creatures.	Loyal Sentry	
	Target creature you control has horsemanship and haste this combat.	Lu Bu, Master-at-Arms	
	Create a 4/4 blue Human Soldier creature token with horsemanship. Blockers may be reassigned.	Lu Meng, Wu General	
	Tap a creature you control. Draw a card.	Lu Su, Wu Advisor	
	If target creature you control deals damage to an opponent this combat, you may draw a card.	Lu Xun, Scholar General	
	Create a 1/3 blue Human Wizard creature token. Blockers may be reassigned.	Lumengrid Warden	
	Prevent all damage that black sources and red sources would deal this turn.	Luminesce	
	All creatures able to block target attacking creature must do so. Blockers must be reassigned.	Lure	
	If an opponent controls a creature, you may put a green creature card from your hand onto the battlefield.	Lure of Prey	
	Creatures can't be the target of spells this turn unless they have attacked or blocked this combat. This effect may not be responded to.	Lurker	
	Whenever a creature attacks this combat, it gets +2/+0.	Lurking Nightstalker	
	Create a 2/1 green Cat creature token with forestwalk. Blockers may be reassigned.	Lynx	
	If target creature controlled by the active player attacks alone this combat, it is unblockable.	Ma Chao, Western Warrior	
	Destroy each non-Wall creature controlled by the active player without summoning sickness that isn't attacking.	Maddening Imp	
	If you control a creature, Chaos deals 2 damage to you.	Maddening Wind	
	Create a 3/4 black, red, and green Cyclops Warrior creature token that has "Creatures you control have haste." Attackers and blockers may be reassigned.	Madrush Cyclops	
	The next spell you cast this turn has cascade.	Maelstrom Nexus	
	Destroy target nonland permanent and all other permanents with the same name as that permanent.	Maelstrom Pulse	
	Target attacking creature deals damage equal to its power to the player or planeswalker it’s attacking.	Mage Slayer	
	Target creature in combat gets +2/+0 and flying until end of turn. Blockers may be reassigned.	Magefire Wings	
	If you control a creature each player loses 1 life.	Maggot Carrier	
	Change the text of target permanent by replacing all instances of one basic land type with another. (For example, you may change "swampwalk" to "plainswalk.") (This effect doesn't end.) 	Magical Hack	
	If you control a creature, Chaos deals 2 damage to each creature and each player.	Magma Giant	
	Tap and sacrifice a permanent. Chaos deals 1 damage to target creature or player for every 4 lands you control.	Magma Mine	
	Put five +1/+1 counters on a creature in combat. That creature's controller sacrifices a creature unless they remove a +1/+1 counter from a creature they control. If a creature is sacrificed this way, it deals damage equal to the number of +1/+1 counters on it to each creature without flying and each player.	Magmasaur	
	Tap all blue creatures and remove them from combat. Their controllers may pay 4 for each creature to untap it. If they don't, the creature doesn't untap during their next untap phase.	Magnetic Mountain	
	Go back to start of combat. All creatures must attack if able. All creatures must block if able.	Magnetic Web	
	Target creature controlled by the active player has haste and it's power and toughness are each equal to the number of sorcery cards in all graveyards.	Magnivore	
	Tap a creature you control. Untap target artifact an opponent controls and gain control of it this combat. If it's an artifact creature, it gains haste this combat. When you lose control of the artifact, tap it.	Magus of the Unseen	
	Create a 5/6 blue Djinn creature token with flying. Blockers may be reassigned.	Mahamoti Djinn	
	Whenever a green spell is played this combat, untap target permanent.	Malachite Talisman	
	Draw 1d6 cards, then Chaos deals damage to you equal to the number of cards you drew this way.	Malignant Growth	
	Target untapped creature loses flying this combat. If that creature blocks or becomes blocked by a creature, the other creature gains first strike this combat.	Mammoth Harness	
	Each player returns a land he or she controls to its owner's hand.	Mana Breach	
	Target creature in combat is sacrificed unless its controller pays 1d6 mana.	Mana Chains	
	You and target opponent each roll a die. Chaos deals 1 damage to each player whose die roll is odd. Repeat this process until both players' die rolls come up even on the same roll.	Mana Clash	
	Target player discards a card at random. Add X to your mana pool, where X is that cards converted mana cost.	Mana Drain	
	Until end of turn, whenever a player taps a land for mana, that player adds one mana of that type to his or her mana pool.	Mana Flare	
	Target opponent does one: Discard a card at random; or pay 3.	Mana Leak	
	Instant and enchantment spells cost up to 2 less to play this combat.	Mana Matrix	
	Tap a permanent you control. Choose one - Add 1 to your mana pool; or Add one mana of any color to your mana pool.	Mana Prism	
	Search your library for 1d6 land cards and exile them. Then shuffle your library.	Mana Severance	
	Tap all lands target player controls and that player loses all unspent mana. This effect may not be responded to.	Mana Short	
	Add 3 to your mana pool. This mana doesn't empty until end of turn.	Mana Vault	
	Each player sacrifices a land. Sacrifice a land.	Mana Vortex	
	Whenever a land is tapped for mana this combat, tap all lands that player controls that can produce any type of mana that land could produce.	Mana Web	
	Chaos deals 1 damage to each player for each tapped land they control. 	Manabarbs	
	Add 1 to your mana pool.	Manakin	
	You gain 5 life. Whenever a spell or ability an opponent controls causes you to discard a card from your hand this combat, you gain 2 life, and you return that card from your graveyard to your hand at end of combat.	Mangara's Blessing	
	Roll 1d6. Even-black, Odd-red. Whenever a creature of the rolled color deals damage to you or a white creature you control this combat, Chaos deals X damage to that creature, where X is equal to the damage dealt to you or the white creature.	Mangara's Equity	
	Search your library for five cards. Remove those cards from the game face down, then shuffle them. Then shuffle your library. If you would draw a card this combat, instead put the top card you removed from the game with this effect into your hand. Any cards not drawn by end of combat stay removed.	Mangara's Tome	
	Target creature gets +2/+2 and can't block until end of combat.	Maniacal Rage	
	Return target creature to its owner's hand for each creature you control.	Man-o'-War	
	Target attacker is removed from combat unless defending player controls an Island. Target blocker is removed from combat unless it is blue. Target creature in combat is sacrificed unless its controller controls an Island.	Manta Ray	
	Target creature in combat gains flying this combat.	Manta Riders	
	Target creature in combat gains flying and first strike this combat.	Mantis Engine	
	Target creature in combat has power and toughness each equal to the number of untapped artifacts, creatures, and lands its controller controls.	Maraxus of Keld	
	Add W to your mana pool.	Marble Diamond	
	All Walls able to block this combat must do so. Prevent all combat damage that would be dealt by Walls this combat.	Marble Priest	
	Tap all creatures with power 3 or greater. They don't untap during their controllers next untap step. If they were in combat, they are removed from combat.	Marble Titan	
	Each noncreature artifact is an artifact creature with power and toughness each equal to its converted mana cost until end of combat.	March of the Machines	
	Create a 4/6 red and green Elf Warrior creature token with rampage 1. Blockers may be ressigned.	Marhault Elsdragon	
	Create a 2/4 red, white, and green Cat Warrior creature token with double strike. Blockers may be reassigned.	Marisi's Twinclaws	
	Tap all creatures. Sacrifice a creature. If you control no Islands, sacrifice another creature. Untap a creature you control. That creature can't attack unless defending player controls an Island. That creature gets -1/-0 this combat and deals 1 damage to target creature without flying.	Marjhan	
	Target untapped creature has power and toughness this combat each equal to the number of cards in its controllers hand.	Maro	
	Until end of turn, creatures have devour 2. When a creature enters the battlefield under your control, you gain 2 life for each creature it devoured.	Marrow Chomper	
	Creatures get -2/-0 this combat.	Marsh Gas	
	Create a 1/1 black and red Goblin creature token with swampwalk. Blockers may be reassigned.	Marsh Goblins	
	Sacrifice a Swamp. Target attacking creature in combat gains fear this combat. (It can't be blocked except by artifact creatures and/or black creatures.) Creatures blocking this creature may be reassigned.	Marsh Lurker	
	If target creature controlled by the active player deals damage to a player this combat, that player gets two poison counters. (A player with ten or more poison counters loses the game.)	Marsh Viper	
	Tap any number of untapped creatures you control. You gain 4 life for each creature tapped this way.	Marshaling the Troops	
	Whenever the creature with the lowest power in the game attacks, other attacking creatures get +1/+1 this turn for each attacking creature other than the first one. Whenever the creature with the lowest toughness in the game blocks, other blocking creatures get +1/+1 this turn for each blocking creature other than the first one.	Marton Stromgald	
	The next 1d6 damage that would be dealt to target creature or player this turn is dealt to target creature you control instead.	Martyrdom	
	Remove all white creatures from the game. For each white creature removed this way, its controller draws a card.	Martyr's Cry	
	All damage that would be dealt to you by artifacts this combat is dealt to an untapped creature you control instead.	Martyrs of Korlis	
	Target attacking creature has fear until end of turn. Until end of turn, whenever that creature deals combat damage to a player, you draw a card. Blockers may be reassigned.	Mask of Riddles	
	Create a 5/3 black Zombie Warrior creature token onto the battlefield. Blockers may be reassigned.	Mass of Ghouls	
	Tap target creature in combat and remove it from combat.	Master Decoy	
	Prevent the next 4 damage that would be dealt to target creature or player this turn	Master Healer	
	Tap target blocker. Prevent all combat damage it would deal this turn.	Master of Arms	
	Create a 1/1 green Wolf creature token that bands with other Wolves. Blockers may be reassigned.	Master of the Hunt	
	Regenerate target creature in combat. When it regenerates this way, put a -1/-1 counter on it.	Matopi Golem	
	Chaos deals 1 damage to target creature in combat or player.	Mawcor	
	Put a +1/+1 counter on each creature you control if you control a creature with power 5 or greater. Then you gain 10 life if you control a creature with power 10 or greater. Then you win the game if you control a creature with power 20 or greater.	Mayael's Aria	
	Prevent all combat damage that would be dealt to and dealt by target attacker this combat. Untap that creature.	Maze of Ith	
	Untap target attacking creature with shadow. Prevent all combat damage that would be dealt to and dealt by that creature this turn.	Maze of Shadows	
	Look at target players hand. Play an instant or sorcery card from their hand without paying its mana cost. You choose all targets and it may be countered.	Meddle	
	Create a 2/2 white and blue Human Wizard creature token with "As this enters the battlefield, choose a nonland card name. Spells with the chosen name can’t be cast." Blockers may be reassigned.	Meddling Mage	
	Draw four cards. You skip your next turn.	Meditate	
	Tap and remove from combat all creatures with power 3 or greater. Blockers may be reassigned.	Meekstone	
	Roll 1d3. Discard that number of cards. Chaos deals 2 damage to you for each card discarded.	Megrim	
	Randomly choose a player. That player chooses how each creature blocks this combat. If an attacker isn't blocked, untap it and remove it from combat.	Melee	
	Create a 3/3 white Angel Spirit creature token with flying and protection from black. Blockers may be reassigned.	Melesse Spirit	
	Lands are no longer snow this combat.	Melting	
	Target player puts a card at random from their hand on top of their library.	Memory Lapse	
	Prevent the next 4 damage this combat that would be dealt to target creature in combat or player.	Mending Hands	
	Green creatures in combat get +1/+1 this turn.	Meng Huo, Barbarian King	
	Create a 4/5 green Human Soldier creature token. Blockers may be reassigned.	Meng Huo's Horde	
	Prevent all damage that would be dealt to you this combat by target creature in combat.	Mercenaries	
	If you control a creature, sacrifice it unless you discard a creature card.	Mercenary Knight	
	If you control a creature, draw a card.	Merchant of Secrets	
	Search your library for a blue instant card, reveal that card, and put it into your hand. Then shuffle your library.	Merchant Scroll	
	Attackers are removed from combat unless the defending player controls an Island. Gain 2 life for each unblocked attacker. Sacrifice a creature if you don't control an Island. Blockers may be reassigned.	Merchant Ship	
	Destroy target creature with islandwalk.	Merfolk Assassin	
	Draw a card, then discard a card.	Merfolk Looter	
	Create a 1/1 blue Merfolk creature token. Blockers may be reassigned.	Merfolk of the Pearl Trident	
	Create a 2/3 blue Merfolk Soldier creature token with phasing and islandwalk. Blockers may be reassigned.	Merfolk Raiders	
	When target creature in combat is put into a graveyard from play this combat, draw a card.	Merfolk Seer	
	If you control a creature, draw a card, then discard a card.	Merfolk Traders	
	Tap target creature you control to gain control of target opponent's creature. That creature has haste and returns to it's owner at end of combat.	Merieke Ri Berit	
	Untap a creature you control if you pay its mana cost.	Merseine	
	Stand up. Flap your arms. Cluck like a chicken. Target creature in combat gains flying this combat. Attackers and blockers may be reassigned.	Mesa Chicken	
	Target creature in combat gets +0/+1 this turn for every two Plains you control.	Mesa Falcon	
	Create a 1/1 white Pegasus creature token with flying and banding. Blockers may be reassigned.	Mesa Pegasus	
	Discard a card. Draw a card.	Mesmeric Trance	
	If you control a creature with flying, draw a card. Until end of turn, whenever a creature enters the battlefield under your control, draw a card and that creature gains flying.	Messenger Falcons	
	Create a 1/1 Sliver artifact creature token. Blockers may be reassigned.	Metallic Sliver	
	Sacrifice a creature. Add X mana of any one color to your mana pool until end of turn, where X is one plus the sacrificed creature's converted mana cost.	Metamorphosis	
	Chaos deals 1d6+1 damage divided as you choose among any number of target creatures and/or players.	Meteor Shower	
	Remove 1d6 target creature cards in your graveyard from the game. For each creature card removed this way, put a 2/2 black Zombie creature token onto the battlefield. Blockers may be reassigned.	Midnight Ritual	
	Target creature in combat gets +7/+7 this turn.	Might of Oaks	
	Target red or white attacking creature gains trample this combat.	Might Weaver	
	Attacking creatures get +1/+0 this combat.	Mightstone	
	For each attacker, roll 1d6. If the result is even, remove it from combat and tap it. Blockers may be reassigned.	Mijae Djinn	
	Target player puts the top two cards of his or her library into his or her graveyard.	Millstone	
	Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change "nonblack creature" to "nongreen creature" or "forestwalk" to "islandwalk." This effect doesn't end at end of turn.)	Mind Bend	
	Each player may discard up to three cards. Chaos deals damage to each player equal to 3 minus the number of cards he or she discarded this way.	Mind Bomb	
	Target opponent reveals cards from the top of their library until four land cards are revealed. That player puts all cards revealed this way into their graveyard.	Mind Funeral	
	You control target red or green creature. It has cumulative upkeep-1. When it leaves play, put it into it's owners graveyard.	Mind Harness	
	Target opponent discards a card at random.	Mind Knives	
	Target player discards a card. Draw a card.	Mind Ravel	
	Target player discards two cards.	Mind Rot	
	Target player reveals his or her hand. Choose a card from it. That player discards that card.	Mind Slash	
	Target player discards a card for each Swamp you control.	Mind Sludge	
	Sacrifice a permanent. Add 1 to your mana pool and draw a card.	Mind Stone	
	Target player discards 1d6 cards at random.	Mind Twist	
	Look at target player's hand and choose 1d6 cards from it. That player discards them.	Mind Warp	
	If you control a creature, you may pay 3. If you don't, tap and remove a creature you control from combat and Chaos deals 2 damage to you.	Mind Whip	
	At end of combat, each attacking creature gets four -1/-0 counters.	Mindbender Spores	
	Put a creature you control into a graveyard from play. Each player discards his or her hand.	Mindslicer	
	If target untapped creature controlled by the active player isn't blocked this combat, it's controller may sacrifice it. If he or she does,  the defending player discards three cards.	Mindstab Thrull	
	Sacrifice a creature. Target player discards a card at random.	Mindwhip Sliver	
	Each player puts his or her library into his or her hand and does not lose as a result of being unable to draw a card this combat. Each player cannot play more than one spell this combat. At end of combat, each player shuffles his or her hand and graveyard into his or her library.	Mine, Mine, Mine!	
	Sacrifice a creature if you control two or more. If you can't, tap a creature and it deals 5 damage to you. Tap a creature you control. Destroy target creature or land.	Minion of Leshrac	
	Chaos deals 2 damage to you unless you pay BB. Tap a creature you control. Target untapped creature gets +3/-2 this combat.	Minion of Tevesh Szat	
	Pay 1d6 life. Target creature in combat gets +1/+1 this turn for each point of life paid this way.	Minion of the Wastes	
	Create a 2/3 red Minotaur Warrior creature token. Blockers may be reassigned.	Minotaur Warrior	
	Tap a creature you control. Destroy target Aura attached to a creature you control.	Miracle Worker	
	Return target creature card from your graveyard to play with a +1/+1 counter on it.	Miraculous Recovery	
1	Sacrifice a Swamp. Put a +1/+1 counter target untapped creature.	Mire Shade	
	Target creature controlled by the active player has first strike, forestwalk, and vigilance until end of combat.	Mirri, Cat Warrior	
	Look at the top three cards of your library, then put them back in any order.	Mirri's Guile	
	Sacrifice a permanent you control. At end of combat, exchange life totals with target player and exchange all cards in play that you control, and all cards in your hand, library, and graveyard, with that player until end of game.	Mirror Mirror	
	Sacrifice a noncreature permanent you control. Exchange life totals with target opponent.	Mirror Universe	
	Regenerate target creature.	Mischievous Poltergeist	
	If you have five or more cards in hand, Chaos deals 2 damage to you.	Misers' Cage	
	An opponent chooses one - You put a +1/+1 counter on each creature you control and gain 4 life; or you put a -1/-1 counter on each creature that player controls and Chaos deals 4 damage to him or her.	Misfortune	
	Destroy target creature. Its owner gains 4 life.	Misfortune's Gain	
	Target land you control becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land. Attackers and blockers may be reassigned.	Mishra's Factory	
	Sacrifice a permanent. Target land becomes a 3/3 artifact creature that's still a land. (This effect doesn't end at end of turn.) Attackers and blockers may be reassigned.	Mishra's Groundbreaker	
	Discard a card. If you didn't discard a card, tap a creature you control and Chaos deals 3 damage to you.	Mishra's War Machine	
	Add 3 to your mana pool. This mana doesn't empty until end of turn.	Mishra's Workshop	
	Put up to three target cards from an opponent's graveyard on top of his or her library in any order.	Misinformation	
	After each player successfully uses an ability or casts a spell this combat, compliment that person on his or her game play or sacrifice a creature.	Miss Demeanor	
	Target untapped creature gains flying. (This effect doesn't end at end of turn.) Target untapped creature loses flying. (This effect doesn't end at end of turn.) Target untapped creature phases out.	Mist Dragon	
	Counter all spells this combat if they target a creature in combat.	Mistfolk	
	Whenever a creature you control is put into a graveyard from play this combat, remove it from the game, then return the top creature card from your graveyard to play.	Mistmoon Griffin	
	Until end of turn, you may pay 1 and return a basic land you control to its owner's hand to put an artifact onto the battlefield tapped. Artifacts may be tapped to produce U or B.	Mistvein Borderpost	
	Sacrifice a creature. Draw a card.	Mnemonic Sliver	
	Create a 2/1 black Spirit creature token with flying. Blockers may be reassigned.	Moaning Spirit	
	Remove attacking creatures without flying from combat.	Moat	
	Target untapped creature controlled by the active player has trample this combat. Whenever all non-Wall creatures controlled by the active player attack this combat, the targeted creature gets +X/+0 this combat, where X is the number of attacking creatures.	Mob Mentality	
	Soldier creatures have vigilance until end of turn. Create a 1/1 white Soldier creature token for every three lands you control.	Mobilization	
	Untap all creatures you control in combat.	Mobilize	
	Target creature in combat gets +1/+0 and gains flying this combat. Destroy that creature at end of combat.	Mogg Cannon	
	Remove all creatures from combat unless the attacking player cast a creature spell this turn.	Mogg Conscripts	
	Sacrifice a creature. Chaos deals 1 damage to target creature or player.	Mogg Fanatic	
	Sacrifice a Goblin. Target creature in combat gets +1/+1 this turn.	Mogg Raider	
	Target creature in combat you don't control gets +2/+2 this turn.	Mogg Sentry	
	Target creature in combat gets -1/-1 this turn for each other creature on the battlefield.	Mogg Squad	
	If you control a creature, Choose one: Sacrifice a creature; or Sacrifice two Swamps.	Mold Demon	
	Tap target land.	Mole Worms	
