		Whenever a creature you control attacks, untap all creatures defending player controls.	Jangling Automaton		
		At the beginning of your upkeep, create a 4/5 green and white Human creature token.	Jasmine Boreal		
		4: Draw a card. Play this effect only once per turn.	Jayemdae Tome		
		At the beginning of your upkeep, create a 5/5 white and blue Cat Warrior creature token.	Jedit Ojanen		
		2: Put a +1/+1 counter on target creature you control.	Jenara, Asura of War		
		At the beginning of your upkeep, create a 6/5 red and green Human Knight creature token.	Jerrard of the Closed Fist		
		At the beginning of your upkeep, search target player's library for three cards and exile them. Then that player shuffles his or her library.	Jester's Cap		
		At the beginning of your upkeep, target opponent puts his or her hand on top of his or her library. Search that library for as many cards as he or she put on top of it this way. That player puts those cards into his or her hand, then shuffles his or her library.	Jester's Mask		
		At the beginning of your upkeep, look through target player's library, graveyard, hand, or sideboard and remove any three of those cards from it for the remainder of the day.	Jester's Sombrero		
		Black spells cost 1 less to cast.	Jet Medallion		
		At the beginning of your upkeep, add 1 mana of any color you could produce to your pool until end of turn.	Jeweled Amulet		
		At the beginning of your upkeep, exile a permanent you control. Put all other exiled cards you own into your graveyard, then draw a card.	Jeweled Bird		
		Creatures have fear, islandcycling 2, and swampcycling 2.	Jhessian Zombies		
		As this effect comes into play, each player chooses a color and an opponent. Your creatures get +2/+1 as long as the chosen player controls a nontoken permanent of the chosen color.	Jihad		
		At the beginning of your upkeep, target land becomes the basic land type of your choice until end of turn. Draw a card.	Jinx		
		At the beginning of your upkeep, Chaos deals 2 damage to you. Sacrifice a creature: Redirect this damage to target opponent.	Jinxed Idol		
		At the beginning of your combat phase, you may give a creature you control defender this combat. If you do, and that creature is untapped, creatures you control have vigilance this combat.	Johan		
		Whenever a creature becomes blocked, it gets -2/-1 this turn for each creature blocking it beyond the first.	Johtull Wurm		
		Lands have "Tap: Add one mana of any color to your mana pool."	Joiner Adept		
		4RR: Destroy all artifacts, creatures, and lands. They can't be regenerated. Play this effect as a sorcery.	Jokulhaups		
		At the beginning of your upkeep, create a 2/2 green Centaur Archer creature token with shroud and flanking.	Jolrael's Centaur		
		At the beginning of your upkeep, tap or untap target artifact, creature, or land. Draw a card.	Jolt		
		At the beginning of your upkeep, destroy target noncreature artifact.	Joven		
		Whenever a creature attacks, it gets +0/+2 until end of turn. At end of any combat, tap all creatures that blocked. They don't untap during their controller's next untap step.	Joven's Ferrets		
		Creatures you control can't be blocked except by Walls.	Joven's Tools		
		At the beginning of your upkeep, Chaos deals X damage to target player, where X is twice the number of white creatures that player controls.	Jovial Evil		
		Creatures attack each turn if able. Creatures can't be blocked by walls.	Juggernaut		
		When you play a card, sacrifice a card. 2: You gain 1 life.	Juju Bubble		
		Creatures enter the battlefield with 1d6 +1/+1 counters on them. At the beginning of your upkeep, put 1d6 +1/+1 counters on each creature you control. At the beginning of your end phase, remove 1d6 +1/+1 counters from each creature you control.	Jumbo Imp		
		At the beginning of your upkeep, target creature gains flying until end of turn.	Jump		
		As long as you control a multicolored permanent, creatures you control get +1/+1 and have haste.	Jund Hackblade		
		Creatures have cycling 3. When you cycle a card or a creature you control dies, Chaos deals 1 damage to any target.	Jund Sojourners		
		At the beginning of your upkeep, create a 2/1 green Cat creature token that can't block.	Jungle Lion		
		At the beginning of your upkeep, create a 0/1 green Plant Wall creature token with defender. Sacrifice a Plant Wall token: Add R to your mana pool.	Jungle Patrol		
		1: Regenerate target creature you control.	Jungle Troll		
		Whenever a creature you control becomes blocked, it gets -1/-1 until end of turn for each creature blocking it beyond the first.	Jungle Wurm		
		Green creatures you control get +1/+1 as long as you control a white creature.	Juniper Order Advocate		
		Tap an untapped creature you control: Untap target land. Play this effect only once per turn.	Juniper Order Druid		
		At the beginning of your upkeep, sacrifice each creature you control unless you pay 2 per creature. On your turn, creatures you control have flying.	Junun Efreet		
		Destroy target attacking creature. Play this effect only during the declare attackers step and only if you are the defending player.	Just Fate		
		Whenever a red creature or red spell deals damage, Chaos deals that much damage to that creature's or spell's controller.	Justice		
		At the beginning of your upkeep, you and target player exchange control of the creature you each control with the highest converted mana cost. Then exchange control of artifacts the same way. If two or more permanents a player controls are tied for highest cost, their controller chooses one of them.	Juxtapose		
		At the beginning of your upkeep, each creature you control deals 1 damage to you.	Juzam Djinn		
		At the beginning of your upkeep, Chaos deals 1 damage to each nonblack creature and an additional 1 damage to each green creature.	Kaervek's Hex		
		At the beginning of your upkeep, destroy target creature with converted mana cost 1d6. If that creature is put into a graveyard this way, Chaos deals damage equal to the creature's power to the creature's controller.	Kaervek's Purge		
		Sacrifice all permanents and discard your hand: Target player loses 5 life.	Kaervek's Spite		
		At the beginnig of your upkeep, Chaos deals 1d6 damage to target creature or player.	Kaervek's Torch		
		Creatures have haste. Tap an untapped creature you control: Chaos deals 3 damage to target creature or player. Play this effect only once per turn.	Kamahl, Pit Fighter		
		At the beginning of your upkeep, create a 1/7 white Spirit creature token.	Kami of Old Stone		
		Tap an untapped land you control: Return target legendary creature to its owner's hand.	Karakas		
		At the beginning of your upkeep, Chaos deals damage to you equal to the number of Swamp lands you control.	Karma		
		At the beginning of your upkeep, create a 2/1 green Mongoose creature token with protection from blue.	Karoo Meerkat		
		Tap an untapped snow land you control: Creatures you control get +1/+1 until end of turn.	Karplusan Giant		
		Creatures can't be the target of blue or black spells.	Karplusan Strider		
		Tap an untapped creature you control: That creature deals damage equal to its power to target creature. Then, the targeted creature deals damage equal to its power to your creature. Play this effect only once per turn.	Karplusan Yeti		
		Whenever a Dragon enters the battlefield under your control, gain control of all Dragons, then untap all Dragons. Dragon creatures have haste.	Karrthus, Tyrant of Jund		
		At the beginning of your upkeep, create a 5/3 white and blue Human Warrior creature token.	Kasimir the Lone Wolf		
		Creatures with flying can't attack or block, and their activated abilities can't be played.	Katabatic Winds		
		Whenever a creature you control deals combat damage to a player, sacrifice that creature and create two 1/1 red Goblin creature tokens. Creatures have unearth 5.	Kathari Bomber		
		Creatures have flying on their turn, 1: Regenerate, and cascade.	Kathari Remnant		
		Whenever a creature enters the battlefield under your control, draw a card.	Kavu Climber		
		Green creatures get +1/+1.	Kaysa		
		At the beginning of your upkeep, create a 2/2 white Elf Archer creature token with reach.	Keen-Eyed Archers		
		Creatures you control gain protection from red on your turn.	Keeper of Kookus		
		Whenever a creature you control attacks and isn't blocked, it deals no combat damage and defending player loses 2 life.	Keeper of Tresserhorn		
		At the beginning of your upkeep, create a 2/3 white Human Cleric creature token.	Keepers of the Faith		
		Tap an untapped creature you control: Prevent the next 2 damage that would be dealt to target creature this turn.	Kei Takahashi		
		Creatures you control get +X/+X where X is equal to the number of non-Wall creatures you control.	Keldon Warlord		
		Green creatures have first strike.	Kelsinko Ranger		
		At the beginning of your upkeep, if your opponents control no creatures, Chaos deals 4 damage to you.	Kezzerdrix		
		At the beginning of your end step, put a +1/+1 counter on a creature you control for each creature that died this turn.	Khabal Ghoul		
		G: Target creature you control gets +1/+1 until end of turn.	Killer Bees		
		U: Target creature you control gains flying until end of turn.	Killer Whale		
		At the beginning of your upkeep, Chaos deals 2 damage to target creature or player, then deals 1d3-1 damage to the same target.	Kindle		
		At the beginning of your upkeep, create a 3/2 green Cat creature token.	King Cheetah		
		At the beginning of your upkeep, destroy target Djinn or Efreet.	King Suleiman		
		Tap an untapped creature you control: Destroy target tapped creature. Play this effect as a sorcery, before the combat phase.	King's Assassin		
		Creatures get +1/+2 as long as their controller controls a Forest.	Kird Ape		
		Artifacts, creatures, and lands come onto the battlefield tapped.	Kismet		
		At the beginning of your upkeep, Chaos deals 4 damage to target opponent. You gain 4 life.	Kiss of Death		
		Creatures can't be blocked by creatures with power 3 or greater. Sacrifice a permanent: The next time a source of your choice would deal damage to a creature you control this turn, prevent that damage.	Kithkin Armor		
		Whenever a creature enters the battlefield under your control, sacrifice a creature. B: Regenerate target creature.	Kjeldoran Dead		
		Tap an untapped creature you control: Target creature gets +2/+2 this turn. If that creature leaves play this turn, sacrifice the creature you tapped. Play this effect only during combat and only once per turn.	Kjeldoran Elite Guard		
		At the beginning of your upkeep, create a 2/3 white Human Soldier creature token with banding.	Kjeldoran Escort		
		Whenever a creature you control becomes blocked by a creature, destroy the blocking creature at end of combat.	Kjeldoran Frostbeast		
		Tap an untapped creature you control: Target creature gets +1/+1 until end of turn. When that creature leaves play this turn, sacrifice the creature you tapped. Play this effect only during combat and only if the defending player controls no snow lands.	Kjeldoran Guard		
		Whenever a creature you control attacks or blocks, put a -0/-1 counter on it at end of combat. If you do, put a 0/1 white Deserter creature token onto the battlefield.	Kjeldoran Home Guard		
		1W:  Your creatures get +1/+0 until end of turn. WW: Your creatures get +0/+2 until end of turn.	Kjeldoran Knight		
		Play this effect only once per turn. Tap an untapped land you control: Choose one - Add W to your mana pool; or 1W: Put a 1/1 white Soldier creature token onto the battlefield.	Kjeldoran Outpost		
		At the beginning of your upkeep, create a 2/5 white Human Soldier creature token with banding and first strike.	Kjeldoran Phalanx		
		Creatures get +1/+2.	Kjeldoran Pride		
		Tap an untapped creature you control: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to a creature you contol instead.	Kjeldoran Royal Guard		
		At the beginning of your upkeep, create a 2/2 white Human Soldier creature token with banding, flying, and first strike.	Kjeldoran Skycaptain		
		At the beginning of your upkeep, create a 1/1 white Human Knight creature token with banding, flying, and first strike.	Kjeldoran Skyknight		
1		At the beginning of your upkeep, create a 1/1 white Human Knight creature token with banding.	Kjeldoran Warrior		
		At the beginning of your upkeep, create a 2/2 white Human Knight creature token.	Knight Errant		
		WW: Target creature gains protection from the color of your choice until end of turn. 	Knight of Dawn		
		BB: Destroy target blocking creature. Play this effect only once per combat.	Knight of Dusk		
		Multicolored creatures get +1/+1 for each of their colors.	Knight of New Alara		
		B: Creatures you control have first strike until end of turn. BB: Creatures you control get +1/+0 until end of turn.	Knight of Stromgald		
		1W, Do the Hokey Pokey (Stand up, wiggle your butt, raise your hands above your head, and shake them wildly as you rotate 360 degrees): Prevent all damage to creatures you control from any one source.	Knight of the Hokey Pokey		
		Whenever a creature enters the battlefield under your control, you may pay 1. If you don't, sacrifice a creature.	Knight of the Mists		
		1W: Each creature without flanking blocking creatures you control gets -1/-1 this turn. Play this effect only once per turn.	Knight of Valor		
		Non-flying creatures have first strike.	Knighthood		
		At the beginning of your upkeep, create a 2/2 white Human Knight creature token with banding and protection from red.	Knights of Thorn		
		Whenever a creature you control attacks, it gets +1/+1 until end of turn for each untapped creature you control.	Knotvine Paladin		
		2, Tap an untapped permanent you control: Exile the top card of your library face down. Sacrifice a permanent: Discard your hand, then put all cards you exiled with this effect into their owner's hand. When this effect leaves play, put all cards exiled with this effect into their owner's graveyard at end of turn.	Knowledge Vault		
		Kobold creatures get +0/+1 and have trample.	Kobold Drill Sergeant		
		Kobold creatures have first strike.	Kobold Overlord		
		Kobold creatures get +1/+0.	Kobold Taskmaster		
		At the beginning of your upkeep, create a 0/1 red Kobold creature token.	Kobolds of Kher Keep		
		Non-white creatures get +1/+1.	Kongming, Sleeping Dragon		
		Tap an untapped creature you control: That creature deals 2 damage to target attacking creature. Play this effect only once per turn.	Kongming's Contraptions		
		At the beginning of your upkeep, if you don't control a red creature, Chaos deals 3 damage to you and all of your creatures attack this turn if able. R: creatures you control get +1/+0 this turn.	Kookus		
		Swamps are 1/1 creatures that are still lands.	Kormus Bell		
		At the beginning of your upkeep, tap an untapped creature you control. Creatures can't attack you unless their controller pays 2 for each creature he or she controls that's attacking you.	Koskun Falls		
		Whenever a player plays a blue spell, all players may gain 1 life.	Kraken's Eye		
		Creatures enter the battlefield with 1d6 +1/+1 counters on them.	Krakilin		
		During your upkeep, roll 1d6. On a 1, sacrifice a creature and Chaos deals 3 damage to each creature and player.	Krazy Kow		
		2R: Target creature gets +1/+0 until end of turn. UU: Target creature you control gains flying until end of turn. Sacrifice it at end of turn.	Krovikan Elementalist		
		At the beginning of your upkeep, draw a card. Target creature gets +1/+1 until end of turn.	Krovikan Fetish		
		At the beginning of your end step, if a black creature is in your graveyard with a creature card directly above it, you may return the black card to your hand. 1, Sacrifice a creature: Chaos deals 1 damage to target creature or player. Play this effect as a sorcery.	Krovikan Horror		
		Tap an untapped creature you control: Put a -0/-1 counter on that creature and it deals 1 damage to target creature or player. Play this effect only once per turn.	Krovikan Plague		
		Tap an untapped creature you control, Discard a card: Draw a card. Tap an untapped creature you control, Discard a black card: Draw two cards, then discard one of them.	Krovikan Sorcerer		
		At the beginning of your end step, if a creature dealt damage by one of your creatures this turn was put into a graveyard, put that card onto the battlefield. Sacrifice the creature when you lose control of the creature that dealt the damage.	Krovikan Vampire		
		2, Tap an untapped permanent you control: Prevent all damage that would be dealt this turn by target creature you control. That creature gets +0/+X until end of turn, where X is its converted mana cost.	Kry Shield		
		Whenever a land becomes tapped, destroy it.	Kudzu		
		Whenever a creature you control attacks and isn't blocked, you may gain control of target artifact defending player controls. If you do, that creature deals no combat damage this turn.	Kukemssa Pirates		
		Creatures can't attack unless the defending player controls an Island. U, Sacrifice an Island: Target land an opponent controls becomes an Island until end of turn. When you control no Islands, sacrifice your creatures.	Kukemssa Serpent		
		G: Creatures you control get +0/+1 this turn. Play this effect only once per turn.	Kyscu Drake		
		Whenever a creature is blocked, that creature doesn't untap during its controller's next untap step.	Labyrinth Minotaur		
		Tap an untapped creature you control: Chaos deals 3 damage to target attacking or blocking creature.	Lady Caleria		
		WB, Tap an untapped creature you control: Prevent all combat damage that would be dealt by target creature this turn.	Lady Evangela		
		At the beginning of your upkeep, create a 7/4 black and red Demon creature token.	Lady Orca		
		Tap an untapped creature you control: Return that creature and another target creature to their owners' hands. Play this effect as a sorcery, before the combat phase.	Lady Sun		
		At the beginning of your upkeep, create a 4/3 green Human Soldier Warrior creature token with horsemanship.	Lady Zhurong, Warrior Queen		
		Play this effect only once per turn. Tap a land you control: Choose one - Add B to your mana pool; or Sacrifice a Swamp and add BBBB to your mana pool.	Lake of the Dead		
		Your creatures have first strike on your turn.	Lance		
		If a player who controls as many lands as the player with the most lands would put a land onto the battlefield, that player instead puts that land onto the battlefield then sacrifices a land.	Land Equilibrium		
		At the beginning of your upkeep, create a 2/2 green Leech creature token with first strike.	Land Leeches		
		At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, and put them into your hand. If you do, shuffle your library.	Land Tax		
		4R: Choose a land type. Remove from the battlefield all lands of that type that you control. Drop those cards, one at a time, onto the playing area from a height of at least one foot. Destroy each card in play that is completely covered by those cards. Then return to play, tapped, all lands dropped in this way. Play this effect as a sorcery.	Landfill		
		Discard a card: If the discarded card is a land card, Chaos deals 2 damage to target player.	Land's Edge		
		Whenever a blue spell is played, you may pay 3. If you do, untap target permanent.	Lapis Lazuli Talisman		
		Whenever a creature deals combat damage to a player, that player discards a card.	Larceny		
		RR: Take an extra turn after this one. At the end of that turn, you lose the game. Play this effect as a sorcery.	Last Chance		
		1U: Shuffle a card from your hand into your library. If you do, draw two cards.	Lat-Nam's Legacy		
		4R: Chaos deals 5 damage to target player. Play this effect as a sorcery.	Lava Axe		
		XR: Chaos deals X damage to target creature or player. If Chaos would deal damage to a creature, that damage can't be prevented or dealt instead to another creature or player.	Lava Burst		
		3RR: Destroy target creature or land. Play this effect as a sorcery.	Lava Flow		
		Whenever a creature enters the battlefield under your control, it deals 4 damage to you.	Lava Hounds		
		3RR: Choose one - Chaos deals 2 damage to each attacking creature; or Chaos deals 2 damage to each blocking creature.	Lava Storm		
		At the beginning of your upkeep, if you have two or fewer cards in hand, Chaos deals 3 damage to you.	Lavaborn Muse		
		At the beginning of your upkeep, Chaos deals X damage to target player or planeswalker and each creature that player or that planeswalker’s controller controls where X=the number of lands you control.	Lavalanche		
		Whenever a creature you control attacks, it doesn't untap during your next untap step.	Lead Golem		
		Sacrifice a creature: Put a +2/+2 counter on target creature that shares a type with the sacrificed creature. It gains trample until this effect leaves play. Play this effect as a sorcery and only once per turn.	Lead-Belly Chimera		
		Creatures have -0/-1. Creatures you control have flying on your turn.	Leaping Lizard		
		At the beginning of your upkeep, you lose all poison counters. Chaos deals 1 damage to you for each poison counter removed this way.	Leeches		
		B, Tap an untapped creature you control: That creature loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. Play this effect only as a sorcery. You may pay B at any time to end this effect. At the beginning of the upkeep of enchanted creature's controller, the Aura deals 1 damage to that player.	Leeching Licid		
		Creatures have -2/+2 and lose flying.	Leering Gargoyle		
		At the beginning of your upkep, exile target permanent.	Legacy Weapon		
		At the beginning of your upkeep, you may put a Chaos counter onto the battlefield. Sacrifice a permanent: Gain control of target creature with power less than or equal to the number of Chaos counters you exile. When this effect leaves play, exile all Chaos counters.	Legacy's Allure		
		At the beginning of your upkeep, exchange control of target artifact or creature you control and another target permanent that shares one of those types with it.	Legerdemain		
		At the beginning of your upkeep, create a 2/3 black Zombie creature token with snow swampwalk.	Legions of Lim-Dul		
		Whenever a creature enters the battlefield under your control, creatures you control get +1/+1 until end of turn.	Leonin Armorguard		
		1: Creatures you control get +1/+1 this turn. Play this effect as a sorcery.	Leonin Scimitar		
		At the beginning of your upkeep, create a 2/2 white Cat Knight creature token with flying.	Leonin Skyhunter		
		Creatures have swampwalk.	Leshrac's Rite		
		Whenever a player plays a green spell, you may pay BB. If you do, look at that player's hand and choose a card from it. The player discards that card.	Leshrac's Sigil		
		Whenever a creature attacks or blocks, that creature's controller must sacrifice a land.	Lesser Gargadon		
		If a creatures power is 1 or more, it gets -1/-0 until end of turn if it attacks and put a -0/-1 counter on creatures blocking it.	Lesser Werewolf		
		Creatures enter the battlefield tapped. Creatures don't untap during your untap step unless you sacrifice two lands for each creature you want to untap. Creatures can't attack unless you sacrifice two lands for each attacking creature.	Leviathan		
		Creatures you control have flying during your turn.	Levitation		
		If a creature damages any player, its controller destroys target card in play, other than the creature doing the damage, with the most lines of text in its text box including flavor text. (If more than one card has the most lines of text, you choose which of those cards to destroy.)	Lexivore		
		Creatures have "Tap: Untap target land".	Ley Druid		
		Creatures have power equal to the number of creature cards in all graveyards and toughness equal to that number plus 1.	Lhurgoyf		
		At the beginning of your upkeep, draw a card. This effect triggers only if you have exactly seven cards in hand.	Library of Alexandria		
		At the beginning of your upkeep, an opponent chooses one - You draw three cards; or You search your library for a card, put that card into your hand, then shuffle your library.	Library of Lat-Nam		
		You have no maximum hand size. If an effect causes you to discard a card, discard it, but you may put it on top of your library instead of into your graveyard. 	Library of Leng		
		When this effect enters play, all players life totals become 0. You don't lose the game for having 0 or less life. If you would gain life, draw that many cards instead. Whenever you're dealt damage, sacrifice that many permanents. When this effect leaves play, the person who caused it to leave play loses. Other players life totals become 1.	Lich		
		At the beginning of your upkeep, create a 1/1 blue and black Zombie Wizard creature token. Target player loses X life and mills X cards, where X is the number of Zombies you control.	Lich Lord of Unx		
		Creatures have wither. At the beginning of your upkeep, remove a -1/-1 counter from each creature you control.	Lichenthrope		
		Whenever a creature you control is put into a graveyard from the battlefield, each player may pay any amount of mana. Then each player creates a number of 1/1 green Squirrel creature tokens equal to the amount of mana he or she paid this way.	Liege of the Hollows		
		Sacrifice a creature: You gain life equal to the sacrificed creature's toughness. Play this effect only during your upkeep.	Life Chisel		
		At the beginning of your upkeep, put a Chaos counter on a creature you control. Remove a Chaos counter from a creature you control: Regenerate it. When this effect leaves play, exile all Chaos counters.	Life Matrix		
		Whenever a Mountain becomes tapped, you gain 1 life.	Lifeblood		
		Black spells are countered.	Lifeforce		
		Spells and permanents are green. (Mana symbols remain unchanged.)	Lifelace		
		Whenever you tap a Forest, your opponents gain 1 life.	Lifetap		
		Black creatures can't attack or block.	Light of Day		
		At the beginning of your upkeep, Chaos deals 4 damage to target creature or player.	Lightning Blast		
		At the beginning of your upkeep, target creature you control gains first strike until end of turn. Draw a card.	Lightning Blow		
		At the beginning of your upkeep, Chaos deals 3 damage to any target.	Lightning Bolt		
		Whenever a player plays a red spell, you may pay 1. If you do, Chaos deals 1 damage to target creature or player.	Lightning Cloud		
1		Creatures have haste.	Lightning Elemental		
		Creatures have fear and haste. Whenever a creature deals combat damage to a player, put a Chaos counter on it. At the beginning of your end step, Chaos deals damage equal to the number of Chaos counters on your creatures to each opponent. When this effect leaves play, exile all Chaos counters.	Lightning Reaver		
		1R: Creatures you control get +1/+0 and first strike this turn.	Lightning Reflexes		
		At the beginning of your upkeep, choose one - Gain 1 life and target player discards a card; or Lose 2 life and search your library for a card, then shuffle your library and put that card on top of it; or Lose 8 life and put all creature cards in all graveyards onto the battlefield under your control.	Liliana Vess		
		Whenever a creature blocks or becomes blocked by a creature, those creatures can't be regenerated this turn.	Lim-Dul's Cohort		
		At the beginning of your upkeep, Chaos deals 1 damage to each player unless he or she pays B or 3.	Lim-Dul's Hex		
		1B: Regenerate target creature.	Lim-Dul's High Guard		
		At the beginning of your upkeep, sacrifice a creature unless you discard a card. If you sacrifice a creature this way, draw a card. Whenever a creature you control becomes blocked, it gets +6/+3 until end of turn. Whenever a creature you control attacks and isn't blocked, it deals no combat damage this turn and defending player loses 4 life.	Lim-Dul's Paladin		
		UB: Look at the top five cards of your library. As many times as you choose, you may pay 1 life, put those cards on the bottom of your library, then look at the top five cards of your library. Then shuffle your library and put the last cards you looked at this way on top of it in any order.	Lim-Dul's Vault		
		Sacrifice a permanent, Discard your hand: Add three mana of any one color to your mana pool.	Lion's Eye Diamond		
		Creatures you control get +2/+2 as long as you control a white creature.	Liu Bei, Lord of Shu		
		Tap and sacrifice a permanent: Put X +0/+1 counters on target creature, where X is that creature's converted mana cost.	Living Armor		
		Whenever a player is dealt damage, that player gets that many Chaos counters. At the beginning of your upkeep, you may exile a Chaos counter. If you do, you gain 1 life. When this effect leaves play, exile all Chaos counters.	Living Artifact		
		At the beginning of your upkeep, each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield under their control.	Living Death		
		Forests are 1/1 creatures that are still lands.	Living Lands		
		Lands are 1/1 creatures that are still lands.	Living Plane		
		Lands are 5/6 green Treefolk creatures that are still lands.	Living Terrain		
		At the beginning of your upkeep, create a 0/6 Wall artifact creature token with defender and 1: Regenerate.	Living Wall		
		At the beginning of your upkeep, create a 4/4 red and green Human Warrior creature token with first strike and legendary landwalk.	Livonya Silone		
		At the beginning of your upkeep, create a 4/2 red Lizard Warrior creature token.	Lizard Warrior		
		Tap an untapped creature you control: Target creature gets +1/+1 until end of turn.	Llanowar Behemoth		
		Tap and sacrifice a creature: Untap all Forests. Play this effect only once per turn.	Llanowar Druid		
		Creatures have "Tap: Add G to your mana pool".	Llanowar Elves		
		Whenever a creature enters the battlefield under your control, you may pay 1G. If you do, search your library for a card with the same name and put that card onto the battlefield. Then shuffle your library.	Llanowar Sentinel		
		2UB: Target player reveals his or her hand, then you choose a card other than a basic land card from it. Search that player's graveyard, hand, and library for all cards with the same name as the chosen card and exile them. Then that player shuffles his or her library.	Lobotomy		
		Play this effect only once per turn. G: Choose one - Regenerate target creature; or Untap a creature you control.	Locust Swarm		
		1, Tap and sacrifice a permanent: Put up to four target basic land cards from a player's graveyard on top of his or her library in any order. That player draws a card.	Lodestone Bauble		
		At the beginning of your upkeep, create a 2/2 green Wolf creature token that may assign its combat damage as if it weren't blocked.	Lone Wolf		
		At the beginning of your upkeep, create a 2/2 white Human Soldier Archer creature token with first strike and reach.	Longbow Archer		
		5WW: Ban one card, other than a basic land or a commander, for the remainder of the day. (For the remainder of the day, each player exiles all copies of that card in play or in any graveyard, hand, library, or sideboard.) Play this effect as a sorcery.	Look at Me, I'm the DCI		
		B: Black creatures get +1/+1 this turn.	Looming Shade		
		Creatures with plainswalk can be blocked as though they didn't have plainswalk. Creatures with forestwalk can be blocked as though they didn't have forestwalk.	Lord Magnus		
		Merfolk creatures get +1/+1 and have islandwalk.	Lord of Atlantis		
		During your turn, creatures you control have power and toughness each equal to the number of cards in all graveyards.	Lord of Extinction		
		At the beginning of your upkeep, sacrifice a creature or Chaos deals 7 damage to you. Another target creature you control gets +7/+7, flying, and trample until end of turn. 	Lord of the Pit		
		Black creatures get +1/+1. At the beginning of your upkeep, return target black card from your graveyard to your hand.	Lord of the Undead		
		As an additional cost to cast creatures, lose 2 life, sacrifice two creatures, and an opponent draws two cards. 1: Regenerate a creature you control.	Lord of Tresserhorn		
		Whenever you draw a card, put a +1/+1 counter on each creature you control.	Lorescale Coatl		
		Creatures have power and toughness each equal to 1 plus the number of creatures the player with the most creatures controls.	Lost Order of Jarkeld		
		At the beginning of your upkeep, create a 2/1 black Spirit Minion creature token with swampwalk.	Lost Soul		
		Tap and sacrifice an artifact: Add one mana of any color to your mana pool.	Lotus Petal		
		At the beginning of your upkeep, create a 4/3 red Giant creature token.	Lowland Giant		
		W, Tap an untapped creature you control: Tap target creature.	Loxodon Mystic		
		3: Target creature gets +3/+0 and has lifelink and trample until end of turn. Play this effect as a sorcery and only once per turn.	Loxodon Warhammer		
		Sacrifice a creature: Return target legendary creature card from your graveyard to the battlefield. Play this effect as a sorcery, before the combat phase.	Loyal Retainers		
		Whenever a creature blocks, destroy both the attacking and blocking creatures.	Loyal Sentry		
		Creatures have horsemanship and haste.	Lu Bu, Master-at-Arms		
		At the beginning of your upkeep, Create a 4/4 blue Human Soldier creature token with horsemanship.	Lu Meng, Wu General		
		Tap an untapped creature you control: Draw a card. Play this effect as a sorcery, before the combat phase.	Lu Su, Wu Advisor		
		Whenever a creature deals damage to an opponent, that creature's controller may draw a card.	Lu Xun, Scholar General		
		At the beginning of your upkeep, create a 1/3 blue Human Wizard creature token.	Lumengrid Warden		
		Prevent all damage from black sources and red sources.	Luminesce		
		Only one creature may attack per turn. All creatures able to block that creature must do so.	Lure		
		If an opponent plays a creature spell, you may put a green creature card from your hand onto the battlefield.	Lure of Prey		
		Creatures can't be the target of spells unless they have attacked or blocked in a given turn.	Lurker		
		Whenever a creature attacks, it gets +2/+0 until end of turn.	Lurking Nightstalker		
		At the beginning of your upkeep, put a 2/1 green Cat creature token with forestwalk onto the battlefield.	Lynx		
		Whenever a creature attacks alone, it is unblockable.	Ma Chao, Western Warrior		
		Each non-Wall creature you control attacks each turn if able. At the beginning of your end step, destroy each of those creatures without summoning sickness that didn't attack during your turn.	Maddening Imp		
		At the beginning of your upkeep, if you control a creature, Chaos deals 2 damage to you.	Maddening Wind		
		Creatures you control have haste.	Madrush Cyclops		
		The first spell you cast each turn has cascade.	Maelstrom Nexus		
		At the beginning of your upkeep, destroy target nonland permanent and all other permanents with the same name as that permanent.	Maelstrom Pulse		
		Creatures gain "Whenever this creature attacks, it deals damage equal to its power to the player or planeswalker it’s attacking."	Mage Slayer		
		During your turn, creatures you control have +2/+0 and flying.	Magefire Wings		
		Whenever a creature enters the battlefield, each player loses 1 life.	Maggot Carrier		
		At the beginning of your upkeep, change the text of target permanent by replacing all instances of one basic land type with another. (For example, you may change "swampwalk" to "plainswalk.") (This effect doesn't end.) 	Magical Hack		
		Whenever a creature enters the battlefield under your control, it deals 2 damage to each creature and each player.	Magma Giant		
		4: Create a Chaos counter. Tap and sacrifice a permanent: Remove all Chaos counters you control from the game and Chaos deals damage equal to the number of Chaos counters removed this way to any target. When this effect leaves play, exile all Chaos counters.	Magma Mine		
		Creatures enter the battlefield with five +1/+1 counters on them. At the beginning of your upkeep, sacrifice a creature unless you remove a +1/+1 counter from it. If you sacrifice a creature this way, it deals damage equal to the number of +1/+1 counters on it to each creature without flying and each player.	Magmasaur		
		Blue creatures don't untap during their controllers' untap steps. Blue creatures have "At the beginning of your upkeep, you may pay 4. If you do, untap this creature."	Magnetic Mountain		
