	Target untapped creature you don't control gets -0/-1 this turn. That creature can't block creatures with power equal to or greater than it's toughness.	Ironclaw Curse	
	Creatures can't block creatures with power 2 or greater this turn.	Ironclaw Orcs	
	Sacrifice a creature. Put a +2/+2 counter on target creature you control. It gains vigilance. (This effect doesn't end at end of turn.)	Iron-Heart Chimera	
	Create a 4/4 green Ox creature token that can't be blocked by more than one creature.	Ironhoof Ox	
	Create a 3/5 green Treefolk creature token.	Ironroot Treefolk	
	Your creatures don’t untap during your untap step. At the beginning of your upkeep, you may pay 3 for each creature you control to untap it. Creatures can’t attack unless defending player controls an Island. When you control no Islands, sacrifice a creature.	Island Fish Jasconius	
	Target creature with flying has base power 0 this turn.	Island of Wak-Wak	
	Skip your draw step this turn. Until your next turn, you can't be attacked except by creatures with flying and/or islandwalk.	Island Sanctuary	
	Choose one - Creatures get -2/-0 this turn; or Tap target creature; or Prevent the next 1 damage that would be dealt to target creature or player this turn.	Ivory Charm	
	Whenever a player plays a white spell this turn, gain 1 life.	Ivory Cup	
	Whenever target creature you control is put into a graveyard from play this turn, return it to play under its owner's control at end of turn and you skip your next draw step.	Ivory Gargoyle	
	If an opponent controls a red permanent, target creature you control gets +1/+1 this turn.	Ivory Guardians	
	You have shroud this turn.	Ivory Mask	
	Gain X life, where X is the number of cards in your hand minus four.	Ivory Tower	
	Target creature you control gains flanking this turn.	Jabari's Banner	
	Gain control of target nonartifact, nonblack creature and put a -1/-0 counter on it.	Jabari's Influence	
	Choose one - Lose 2 life and each player draws a card; or Lose 1 life and target player draws a card; or Lose 10 life and target player puts the top twenty cards of his or her library into his or her graveyard.	Jace Beleren	
	Whenever target creature you control is dealt damage this turn, it deals that much damage to its controller.	Jackal Pup	
	Roll a six-sided die. On a 1, sacrifice a permanent and lose 5 life. Otherwise, one of the following effects happens. Treat this effect as a mana source. 2 - Add W to your mana pool. 3 - Add U to your mana pool. 4 - Add B to your mana pool. 5 - Add R to your mana pool. 6 - Add G to your mana pool.	Jack-in-the-Mox	
	Green creatures you control get +0/+2 this turn.	Jacques le Vert	
	The next time a source would deal damage to target creature you control this turn, that source deals that damage to you instead.	Jade Monolith	
	Create a 3/6 Golem artifact creature token until end of combat.	Jade Statue	
	Chaos deals 3 damage to target creature and 3 damage to another target creature.	Jagged Lightning	
	Tap a creature you control. Put the tapped creature and two lands you control face down in front of target opponent after revealing each card to him or her. Then, rearrange the order of the three cards as often as you wish, keeping them on the table at all times. That opponent then chooses one of those cards. If a land is chosen, destroy target card in play. Otherwise, sacrifice the creature.	Jalum Grifter	
	Draw a card, then discard a card.	Jalum Tome	
	Target untapped creature you don't control can't block this turn.	Jamuraan Lion	
	Discard the first card you draw this turn. Then draw a card.	Jandor's Ring	
	Untap target creature.	Jandor's Saddlebags	
	If target creature you control attacks this turn, untap all creatures defending player controls.	Jangling Automaton	
	Create a 4/5 green and white Human creature token.	Jasmine Boreal	
	Draw a card.	Jayemdae Tome	
	Create a 5/5 white and blue Cat Warrior creature token.	Jedit Ojanen	
	Put a +1/+1 counter on target creature you control for every 2 lands you control.	Jenara, Asura of War	
	Create a 6/5 red and green Human Knight creature token.	Jerrard of the Closed Fist	
	Sacrifice a permanent. Search target player's library for three cards and remove them from the game. Then that player shuffles his or her library.	Jester's Cap	
	Sacrifice a permanent. Target opponent puts his or her hand on top of his or her library. Search that library for as many cards as he or she put on top of it this way. That player puts those cards into his or her hand, then shuffles his or her library.	Jester's Mask	
	Sacrifice a permanent. Look through target player's library, graveyard, hand, or sideboard and remove any three of those cards from the chosen place for the remainder of the day.	Jester's Sombrero	
	Your black spells cost 1 less to cast this turn.	Jet Medallion	
	Add one mana of any color to your mana pool until end of turn.	Jeweled Amulet	
	Exile a permanent you control. Put all other exiled cards you own into your graveyard, then draw a card.	Jeweled Bird	
	Creatures have islandcycling 2, and swampcycling 2 this turn. Target creature you control gains fear this turn.	Jhessian Zombies	
	Choose a color and an opponent. Your creatures get +2/+1 this turn as long as the chosen player controls a nontoken permanent of the chosen color.	Jihad	
	Target land becomes the basic land type of your choice this turn. Draw a card.	Jinx	
	Chaos deals 2 damage to you. You may sacrifice a creature to redirect this damage to target opponent.	Jinxed Idol	
	At the beginning of your combat phase, you may give an untapped creature you control defender until end of combat. If you do, your creatures have vigilance this turn.	Johan	
	Whenever target creature you control becomes blocked this turn, it gets -2/-1 this turn for each creature blocking it beyond the first.	Johtull Wurm	
	Lands you control produce any color mana instead of their usual mana this turn.	Joiner Adept	
	Destroy all artifacts, creatures, and lands. They can't be regenerated.	Jokulhaups	
	Create a 2/2 green Centaur Archer creature token with shroud and flanking.	Jolrael's Centaur	
	Tap or untap target artifact, creature, or land. Draw a card.	Jolt	
	Destroy target noncreature artifact.	Joven	
	Whenever a creature attacks, it gets +0/+2 this turn. At end of combat, tap all creatures that blocked.	Joven's Ferrets	
	Tap a noncreature permanent you control. Target creature you control can't be blocked this turn except by Walls.	Joven's Tools	
	Chaos deals X damage to target player, where X is twice the number of white creatures that player controls.	Jovial Evil	
	Creatures you control must attack this turn if able. They can't be blocked by walls.	Juggernaut	
	When you play a card this turn, sacrifice a permanent. You gain 1 life for every 2 lands you control.	Juju Bubble	
	Roll two six-sided dice. Target creature gets a number of +1/+1 counters on it equal to the dice rolled. At the end of turn, roll a six-sided die. Remove a number of +1/+1 counters equal to the die roll from the same creature.	Jumbo Imp	
	Target creature you control gains flying this turn.	Jump	
	As long as you control a multicolored permanent, creatures you control get +1/+1 and have haste this turn.	Jund Hackblade	
	Creatures have cycling 3 this turn. Whenever you cycle a card or a creature dies this turn, Chaos deals 1 damage to any target.	Jund Sojourners	
	Create a 2/1 green Cat creature token that can't block	Jungle Lion	
	Create a 0/1 green Plant Wall creature token with defender. Add R to your mana pool this turn.	Jungle Patrol	
	Regenerate target creature.	Jungle Troll	
	Whenever target creature you control becomes blocked this turn, it gets -1/-1 for each creature blocking it beyond the first.	Jungle Wurm	
	Green creatures you control get +1/+1 this turn as long as a white creature you control is untapped.	Juniper Order Advocate	
	Tap a creature you control. Untap target land.	Juniper Order Druid	
	Sacrifice each creature you control unless you pay 2 per creature. On your turn, creatures you control have flying.	Junun Efreet	
	Destroy target attacking creature. Play this effect during your declare attackers step this turn.	Just Fate	
	Whenever a red creature or red spell deals damage this turn, Choas deals that much damage to that creature's or spell's controller.	Justice	
	You and target player exchange control of the creature you each control with the highest converted mana cost. Then exchange control of artifacts the same way. If two or more permanents a player controls are tied for highest cost, their controller chooses one of them.	Juxtapose	
	Each creature you control deals 1 damage to you.	Juzam Djinn	
	Chaos deals 1 damage to each nonblack creature and an additional 1 damage to each green creature.	Kaervek's Hex	
	Destroy target creature with converted mana cost 1d6 or lower. If that creature is put into a graveyard this way, Chaos deals damage equal to the creature's power to the creature's controller.	Kaervek's Purge	
	Sacrifice all permanents and discard your hand. Target player loses 5 life.	Kaervek's Spite	
	Chaos deals 1d6 damage to target creature or player.	Kaervek's Torch	
	Chaos deals 3 damage to target creature or player.	Kamahl, Pit Fighter	
	Create a 1/7 white Spirit creature token.	Kami of Old Stone	
	Tap a land you control. Return target legendary creature to its owner's hand.	Karakas	
	Chaos deals damage to each player equal to the number of Swamp lands he or she controls.	Karma	
	Create a 2/1 green Mongoose creature token with protection from blue onto the battlefield.	Karoo Meerkat	
	Tap an untapped snow land you control. Target creature you control gets +1/+1 this turn for each snow land you control.	Karplusan Giant	
	Your creatures can't be the target of blue or black spells this turn.	Karplusan Strider	
	Tap a creature you control. That creature deals damage equal to its power to target creature. Then, the targeted creature deals damage equal to its power to your creature.	Karplusan Yeti	
	Whenever a Dragon enters the battlefield under your control this turn, gain control of all Dragons, then untap all Dragons. Dragon creatures have haste this turn.	Karrthus, Tyrant of Jund	
	Create a 5/3 white and blue Human Warrior creature token.	Kasimir the Lone Wolf	
	Creatures with flying can't attack or block this turn, and their activated abilities can't be played either.	Katabatic Winds	
	Whenever a creature you control deals combat damage to a player this turn, sacrifice that creature and create two 1/1 red Goblin creature tokens. Creatures have unearth 5 this turn.	Kathari Bomber	
	Regenerate target creature you control and it gains flying this turn. Creatures have cascade this turn.	Kathari Remnant	
	Reveal your hand and put a creature from your hand onto the battlefield. Draw a card.	Kavu Climber	
	Green creatures you control get +1/+1 this turn.	Kaysa	
	Create a 2/2 white Elf Archer creature token with reach.	Keen-Eyed Archers	
	Target creature you gains protection from red this turn.	Keeper of Kookus	
	Whenever target creature you control attacks and isn't blocked this turn, it deals no combat damage and defending player loses 2 life.	Keeper of Tresserhorn	
	Create a 2/3 white Human Cleric creature token.	Keepers of the Faith	
	Tap a creature you control. Prevent the next 2 damage that would be dealt to target creature this turn.	Kei Takahashi	
	This turn, target creature you control has power and toughness each equal to the number of non-Wall creatures you control.	Keldon Warlord	
	Target green creature has first strike this turn.	Kelsinko Ranger	
	If your opponents control no creatures, Chaos deals 4 damage to you.	Kezzerdrix	
	At end of turn, put a +1/+1 counter on a creature you control for each creature that died this turn.	Khabal Ghoul	
	Target creature you control gets +1/+1 this turn for each Forest you control.	Killer Bees	
	Target creature you control gains flying this turn.	Killer Whale	
	Chaos deals X damage to target creature or player, where X is 2 plus the number of cards with the same name in all graveyards.	Kindle	
	Create a 3/2 green Cat creature token.	King Cheetah	
	Destroy target Djinn or Efreet.	King Suleiman	
	Destroy target tapped creature.	King's Assassin	
	Creatures you control gets +1/+2 this turn as long as you control a Forest.	Kird Ape	
	Artifacts, creatures, and lands come onto the battlefield tapped this turn.	Kismet	
	Chaos deals 4 damage to target opponent. You gain 4 life.	Kiss of Death	
	Sacrifice a permanent. Target creature you control can't be blocked by creatures with power 3 or greater this turn. The next time a source would deal damage to that creature this turn, prevent that damage.	Kithkin Armor	
	If you control a creature, sacrifice a creature. Regenerate a creature.	Kjeldoran Dead	
	Target creature you control gets +2/+2 this turn. If that creature leaves play this turn, sacrifice a creature.	Kjeldoran Elite Guard	
	Create a 2/3 white Human Soldier creature token with banding.	Kjeldoran Escort	
	Whenever target creature you control blocks or becomes blocked by a creature this turn, destroy the creature that isn't yours at end of turn.	Kjeldoran Frostbeast	
	Target creature you control gets +1/+1 this turn. If that creature leaves play this turn, sacrifice a creature if you control no snow lands.	Kjeldoran Guard	
	Whenever target creature you control attacks this turn, put a -0/-1 counter on it at end of combat. If you do, put a 0/1 white Deserter creature token onto the battlefield.	Kjeldoran Home Guard	
	Target creature you control gets +1/+0 this turn for each Plains you control. Target creature you control gets +0/+2 this turn for every two Plains you control.	Kjeldoran Knight	
	Choose one - Add W to your mana pool this turn; or Put a 1/1 white Soldier creature token onto the battlefield.	Kjeldoran Outpost	
	Create a 2/5 white Human Soldier creature token with banding and first strike.	Kjeldoran Phalanx	
	Target creature you control gets +1/+2 this turn.	Kjeldoran Pride	
	All combat damage that would be dealt to creatures you control this turn is dealt to you instead.	Kjeldoran Royal Guard	
	Create a 2/2 white Human Soldier creature token with banding, flying, and first strike.	Kjeldoran Skycaptain	
	Create a 1/1 white Human Knight creature token with banding, flying, and first strike onto the battlefield.	Kjeldoran Skyknight	
	Create a 1/1 white Human Knight creature token with banding.	Kjeldoran Warrior	
	Create a 2/2 white Human Knight creature token.	Knight Errant	
	Target creature you control gains protection from the color of your choice this turn. 	Knight of Dawn	
	Destroy target untapped creature you don't control.	Knight of Dusk	
	Multicolored creatures you control get +1/+1 for each of their colors this turn.	Knight of New Alara	
	If you control a Swamp, target creature you control has first strike this turn. Target creature you control gets +1/+0 this turn for every two Swamps you control rounded down.	Knight of Stromgald	
	Do the Hokey Pokey (Stand up, wiggle your butt, raise your hands above your head, and shake them wildly as you rotate 360 degrees). Prevent all damage to target creature you control from any source this turn.	Knight of the Hokey Pokey	
	If you control a creature, you may pay U. If you don't, sacrifice a creature.	Knight of the Mists	
	Each creature without flanking that blocks target creature you control gets -1/-1 this turn.	Knight of Valor	
	All your non-flying creatures have first strike.	Knighthood	
	Create a 2/2 white Human Knight creature token with banding and protection from red.	Knights of Thorn	
	Whenever a creature you control attacks this turn, it gets +1/+1 until end of turn for each untapped creature you control.	Knotvine Paladin	
	Exile the top 1d6 cards of your library face down. Sacrifice a permanent. Discard your hand, then put all cards you exiled with this effect into their owner's hand.	Knowledge Vault	
	Kobold creatures get +0/+1 and have trample this turn.	Kobold Drill Sergeant	
	Kobold creatures have first strike this turn.	Kobold Overlord	
	Kobold creatures get +1/+0 this turn.	Kobold Taskmaster	
	Create a 0/1 red Kobold creature token.	Kobolds of Kher Keep	
	Non-white creatures you control get +1/+1 this turn.	Kongming, Sleeping Dragon	
	Chaos deals 2 damage to target creature you control.	Kongming's Contraptions	
	If you don't control a red creature, Chaos deals 3 damage to you. Target creature you control gets +1/+0 this turn for each Mountain you control.	Kookus	
	Swamps are 1/1 creatures that are still lands this turn.	Kormus Bell	
	Creatures can't attack this turn unless you pay 2 for each creature you control that you want to attack.	Koskun Falls	
	Reveal any number of blue cards in your hand. You may gain 1 life for each card revealed this way.	Kraken's Eye	
	Put 1d6 +1/+1 counters on the next creature that enters the enters the battlefield under your control this turn.	Krakilin	
	Roll 1d6. On a 1, sacrifice a creature and Chaos deals 3 damage to each creature and player.	Krazy Kow	
	Target creature you control gets +1/+0 this turn for every three Mountains you control. Target creature you control gains flying this turn. Sacrifice it at end of turn.	Krovikan Elementalist	
	Draw a card. Target creature you control gets +1/+1 this turn.	Krovikan Fetish	
	Sacrifice a creature. Chaos deals 1 damage to target creature or player. If a black creature is in your graveyard with a creature card directly above it, you may return the black card to your hand.	Krovikan Horror	
	Tap a creature you control. Put a -0/-1 counter on this creature and it deals 1 damage to target creature or player.	Krovikan Plague	
	Choose one - Discard a card. Draw a card; or Discard a black card. Draw two cards, then discard one of them.	Krovikan Sorcerer	
	At end of turn, if a creature dealt damage by target creature you control this turn was put into a graveyard, put that card onto the battlefield.	Krovikan Vampire	
	Prevent all damage that would be dealt this turn by target creature you control. That creature gets +0/+X until end of turn, where X is its converted mana cost.	Kry Shield	
	Destroy target tapped land. That land's controller may copy this effect and choose a new target. Repeat this process until a player chooses not to copy this effect or there are no untapped lands.	Kudzu	
	Whenever target creature you control attacks and isn't blocked this turn, you may gain control of target artifact defending player controls. If you do, that creature deals no combat damage this turn.	Kukemssa Pirates	
	Target creature you control can't attack unless defending player controls an Island. Sacrifice an Island. Target land a player controls becomes an Island this combat. When you control no Islands, sacrifice a creature.	Kukemssa Serpent	
	Target creature you control gets +0/+1 this turn.	Kyscu Drake	
	Whenever a creature is blocked this combat, tap all creatures the defending player controls.	Labyrinth Minotaur	
	Tap a creature you control. Chaos deals 3 damage to target untapped creature.	Lady Caleria	
	Tap a creature you control. Prevent all combat damage that would be dealt by target creature this turn.	Lady Evangela	
	Create a 7/4 black and red Demon creature token.	Lady Orca	
	Tap a creature you control. Return that creature and another target creature to their owners' hands.	Lady Sun	
	Create a 4/3 green Human Soldier Warrior creature token with horsemanship.	Lady Zhurong, Warrior Queen	
	Tap a land you control. Choose one - Add B to your mana pool; or Sacrifice a Swamp and add BBBB to your mana pool.	Lake of the Dead	
	Target creature you control gets first strike this turn.	Lance	
	If you control as many lands as the player with the most lands and you would put a land onto the battlefield, instead you put that land onto the battlefield then sacrifice a land.	Land Equilibrium	
	Create a 2/2 green Leech creature token with first strike.	Land Leeches	
	If an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, and put them into your hand. If you do, shuffle your library.	Land Tax	
	Choose a land type. Remove from play all lands of that type that you control. Drop those cards, one at a time, onto the playing area from a height of at least one foot. Destroy each card in play that is completely covered by those cards. Then return to play, tapped, all lands dropped in this way.	Landfill	
	For each land card you discard, Chaos deals 2 damage to target player.	Land's Edge	
	Whenever a blue spell is played this turn, untap target permanent.	Lapis Lazuli Talisman	
	Whenever a creature deals combat damage to a player this turn, that player discards a card.	Larceny	
	Take an extra turn after this one. At the end of that turn, you lose the game.	Last Chance	
	Shuffle a card from your hand into your library. If you do, draw two cards.	Lat-Nam's Legacy	
	Chaos deals 5 damage to target player.	Lava Axe	
	Chaos deals 1d6 damage to target creature or player. If this effect would deal damage to a creature, that damage can't be prevented or redirected to another creature or player.	Lava Burst	
	Destroy target creature or land.	Lava Flow	
	Whenever a creature comes onto the battlefield this turn, it deals 4 damage to you.	Lava Hounds	
	Chaos deals 2 damage to each creature that blocks this turn.	Lava Storm	
	If you have two or fewer cards in hand, Chaos deals 3 damage to you.	Lavaborn Muse	
	Chaos deals X damage to target player or planeswalker and each creature that player or that planeswalker’s controller controls where X=the number of lands you control.	Lavalanche	
	Creatures that attack this turn don't untap during your next untap step.	Lead Golem	
	Sacrifice a creature. Put a +2/+2 counter on target creature you control that shares a creature type with the sacrificed creature. It gains trample. (This effect doesn't end at end of turn.)	Lead-Belly Chimera	
	Target creature you control gets flying and gets -0/-1 this turn.	Leaping Lizard	
	Target player loses all poison counters. Chaos deals 1 damage to that player for each poison counter removed this way.	Leeches	
	Target creature you control becomes an Aura enchantment with enchant creature. Attach it to target creature. At the beginning of the upkeep of enchanted creature's controller, the Aura deals 1 damage to that player.	Leeching Licid	
	Target creature you control gets -2/+2 and loses flying this turn.	Leering Gargoyle	
	Remove target permanent from the game.	Legacy Weapon	
	Sacrifice a permanent. Gain control of target creature with power less than or equal to 1d6.	Legacy's Allure	
	Exchange control of target artifact or creature and another target permanent that shares one of those types with it.	Legerdemain	
	Create a 2/3 black Zombie creature token with snow swampwalk.	Legions of Lim-Dul	
	Whenever a creature enters the battlefield under your control this turn, creatures you control get +1/+1 until end of turn.	Leonin Armorguard	
	Target creature you control gets +1/+1 this turn.	Leonin Scimitar	
	Create a 2/2 white Cat Knight creature token with flying.	Leonin Skyhunter	
	Target creature you control has swampwalk this turn.	Leshrac's Rite	
	Whenever an opponent plays a green spell this turn, look at that player's hand and choose a card from it. The player discards that card.	Leshrac's Sigil	
	Whenever a creature attacks or blocks this turn, that creature's controller sacrifices a land.	Lesser Gargadon	
	If a creature you control has power 1 or more, it gets -1/-0 this turn. If it attacks this turn, put a -0/-1 counter on creatures blocking it.	Lesser Werewolf	
	Creatures come onto the battlefield tapped this turn. Creatures don't untap during your untap step unless you sacrifice two lands for each creature you want to untap. Creatures can't attack this turn unless you sacrifice two lands for each attacking creature.	Leviathan	
	Creatures you control have flying this turn.	Levitation	
	If a creature damages any player this turn, its controller destroys target card in play, other than the creature doing the damage, with the most lines of text in its text box including flavor text. (If more than one card has the most lines of text, you choose which of those cards to destroy.)	Lexivore	
	Creatures you control gain "Tap: Untap target land" this turn.	Ley Druid	
	Target creature you control has power equal to the number of creature cards in all graveyards and toughness equal to that number plus 1 this turn.	Lhurgoyf	
	If you have seven cards in your hand, draw a card.	Library of Alexandria	
	An opponent chooses one - You draw three cards; or you search your library for a card, put that card into your hand, then shuffle your library.	Library of Lat-Nam	
	You have no maximum hand size this turn. If an effect causes you to discard a card this turn, discard it, but you may put it on top of your library instead of into your graveyard.	Library of Leng	
	Your life total becomes 0 until end of turn. You don't lose the game for having 0 or less life. If you would gain life, draw that many cards instead. Whenever you're dealt damage, sacrifice that many permanents. At the end of turn, your life total becomes 1.	Lich	
	Create a 1/1 blue and black Zombie Wizard creature token. Target player loses X life and mills X cards, where X is the number of Zombies you control.	Lich Lord of Unx	
	Creatures have wither this turn. Remove a -1/-1 counter from each creature you control.	Lichenthrope	
	Whenever a creature dies this turn, each player may pay any amount of mana. Then each player creates a number of 1/1 green Squirrel creature tokens equal to the amount of mana he or she paid this way.	Liege of the Hollows	
	Sacrifice a creature. You gain life equal to the sacrificed creature's toughness.	Life Chisel	
	Regenerate target creature you control.	Life Matrix	
	Whenever a Mountain becomes tapped this turn, gain 1 life.	Lifeblood	
	Black spells are countered this turn. This effect may not be responded to.	Lifeforce	
	Target permanent becomes green permanently. (Mana symbols on that permanent remain unchanged.)	Lifelace	
	Gain 1 life for each Forest an opponent controls.	Lifetap	
	Black creatures can't attack or block this turn.	Light of Day	
	Chaos deals 4 damage to target creature or player.	Lightning Blast	
	Target creature you control gains first strike this turn. Draw a card.	Lightning Blow	
	Chaos deals 3 damage to any target.	Lightning Bolt	
	Whenever a player plays a red spell this turn, Chaos deals 1 damage to target creature or player.	Lightning Cloud	
	Black creatures you control have haste this turn.	Lightning Elemental	
	Creatures have haste and fear this turn. Whenever a creature deals combat damage to a player this turn, Chaos deals 1 damage to each player.	Lightning Reaver	
	Target creature you control gets +1/+0 and first strike this turn.	Lightning Reflexes	
	Choose one - Gain 1 life and target player discards a card; or Lose 2 life and search your library for a card, then shuffle your library and put that card on top of it; or Lose 8 life and put all creature cards in all graveyards onto the battlefield.	Liliana Vess	
	Whenever a creature blocks or becomes blocked by a creature this turn, those creatures can't be regenerated.	Lim-Dul's Cohort	
	Chaos deals 1 damage to each player unless he or she pays B or 3.	Lim-Dul's Hex	
	Regenerate target creature you control.	Lim-Dul's High Guard	
	Sacrifice a creature unless you discard a card. If you sacrifice a creature this way, draw a card. Target a creature you control. Whenever that creature becomes blocked, it gets +6/+3 this turn. Whenever that creature attacks and isn't blocked, it deals no combat damage this combat and defending player loses 4 life.	Lim-Dul's Paladin	
	Look at the top five cards of your library. As many times as you choose, you may pay 1 life, put those cards on the bottom of your library, then look at the top five cards of your library. Then shuffle your library and put the last cards you looked at this way on top of it in any order.	Lim-Dul's Vault	
	Sacrifice a permanent. Discard your hand. Add three mana of any one color to your mana pool this turn.	Lion's Eye Diamond	
	Creatures you control get +2/+2 as long as you control a white creature.	Liu Bei, Lord of Shu	
	Sacrifice a permanent. Put X +0/+1 counters on target creature, where X is that creature's converted mana cost.	Living Armor	
	You take one less damage from all sources this turn.	Living Artifact	
	Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.	Living Death	
	Forests are 1/1 creatures that are still lands this turn.	Living Lands	
	All lands are 1/1 creatures that are still lands this turn.	Living Plane	
	Target land is a 5/6 green Treefolk creature that's still a land. (This effect doesn't end.)	Living Terrain	
	Create a 0/6 Wall Artifact creature token with defender and 1: Regenerate.	Living Wall	
	Create a 4/4 red and green Human Warrior creature token with first strike and legendary landwalk.	Livonya Silone	
	Create a 4/2 red Lizard Warrior creature token.	Lizard Warrior	
	Target creature you control gets +1/+1 this turn for each tapped creature you control.	Llanowar Behemoth	
	Sacrifice a creature. Untap all Forests.	Llanowar Druid	
	Add G to your mana pool. This mana doesn't empty until end of turrn.	Llanowar Elves	
1	Whenever a creature comes onto the battlefield this turn, search your library for a card with the same name and put that card onto the battlefield. Then shuffle your library.	Llanowar Sentinel	
	Target player reveals his or her hand, then you choose a card other than a basic land card from it. Search that player's graveyard, hand, and library for all cards with the same name as the chosen card and exile them. Then that player shuffles his or her library.	Lobotomy	
	Choose one - Regenerate target creature; or Untap a creature you control.	Locust Swarm	
	Sacrifice a permanent. Put up to four target basic land cards from a player's graveyard on top of his or her library in any order. That player draws a card.	Lodestone Bauble	
	Create a 2/2 green Wolf creature token that may assign its combat damage as if it weren't blocked.	Lone Wolf	
	Create a 2/2 white Human Soldier Archer creature token with first strike and reach.	Longbow Archer	
	Ban one card, other than a basic land or a commander, for the remainder of the day. (For the remainder of the day, each player removes from the game all copies of that card in play or in any graveyard, hand, library, or sideboard.)	Look at Me, I'm the DCI	
	Target black creature you control gets +1/+1 this turn for each Swamp you control.	Looming Shade	
	Creatures with plainswalk can be blocked as though they didn't have plainswalk this turn. Creatures with forestwalk can be blocked as though they didn't have forestwalk this turn.	Lord Magnus	
	Merfolk creatures get +1/+1 and have islandwalk this turn.	Lord of Atlantis	
	Target creature you control has power and toughness each equal to the number of cards in all graveyards this turn.	Lord of Extinction	
	Choose one - Sacrifice a creature; or Chaos deals 7 damage to you. Target creature you control gets +7/+7, flying, and trample this turn.	Lord of the Pit	
	Black creatures get +1/+1 this turn. Tap a creature you control. Return target black card from your graveyard to your hand.	Lord of the Undead	
	If you control a creature, you lose 2 life, sacrifice two creatures, and an opponent draws two cards. Regenerate a creature you control.	Lord of Tresserhorn	
	Put a number of +1/+1 counters on a creature you control equal to the number of cards in your hand.	Lorescale Coatl	
	Target creature you control has power and toughness this turn each equal to 1 plus the number of creatures target player controls.	Lost Order of Jarkeld	
	Create a 2/1 black Spirit Minion creature token with swampwalk.	Lost Soul	
	Sacrifice an artifact. Add one mana of any color to your mana pool.	Lotus Petal	
	Create a 4/3 red Giant creature token.	Lowland Giant	
	Tap target creature.	Loxodon Mystic	
	Target creature you control gets +3/+0 and has lifelink and trample this turn.	Loxodon Warhammer	
	Sacrifice a creature. Return target legendary creature card from your graveyard to the battlefield under your control.	Loyal Retainers	
	When a creature blocks this turn, destroy both the attacking and blocking creatures.	Loyal Sentry	
	Target creature you control has horsemanship and haste this turn.	Lu Bu, Master-at-Arms	
	Create a 4/4 blue Human Soldier creature token with horsemanship.	Lu Meng, Wu General	
	Draw a card.	Lu Su, Wu Advisor	
	If target creature you control deals damage to an opponent this turn, you may draw a card.	Lu Xun, Scholar General	
	Create a 1/3 blue Human Wizard creature token.	Lumengrid Warden	
	Prevent all damage that black sources and red sources would deal this turn.	Luminesce	
	All creatures able to block target creature you control this turn must do so.	Lure	
	If an opponent controls a creature, you may put a green creature card from your hand onto the battlefield.	Lure of Prey	
	Creatures can't be the target of spells this turn unless they attack or block this turn. This effect may not be responded to.	Lurker	
	Whenever target creature you control attacks this turn, it gets +2/+0.	Lurking Nightstalker	
	Create a 2/1 green Cat creature token with forestwalk.	Lynx	
	If target creature you control attacks alone this combat, it is unblockable.	Ma Chao, Western Warrior	
	Each non-Wall creature you control attacks this turn if able. At the beginning of your end step, destroy each of your creatures without summoning sickness that didn't attack this turn.	Maddening Imp	
	If you control a creature, Chaos deals 2 damage to you.	Maddening Wind	
	Creatures you control have haste this turn.	Madrush Cyclops	
	The first spell you cast this turn has cascade.	Maelstrom Nexus	
	Destroy target nonland permanent and all other permanents with the same name as that permanent.	Maelstrom Pulse	
	Choose a creature you control. Whenever the chosen creature attacks this turn, it deals damage equal to its power to defending player.	Mage Slayer	
	Target creature you control has +2/+0 and flying this turn.	Magefire Wings	
1	Whenever a creature comes onto the battlefield this turn, each player loses 1 life.	Maggot Carrier	
	Change the text of target permanent by replacing all instances of one basic land type with another. (For example, you may change "swampwalk" to "plainswalk.") (This effect doesn't end.) 	Magical Hack	
	Whenever a creature enters the battlefield under your control this turn, it deals 2 damage to each creature and each player.	Magma Giant	
	Sacrifice a permanent. Chaos deals 1 damage to target creature or player for every 4 lands you control.	Magma Mine	
	Put five +1/+1 counters on a creature you control. At the beginning of your upkeep, sacrifice a creature unless you remove a +1/+1 counter from it. If you sacrifice a creature this way, it deals damage equal to the number of +1/+1 counters on it to each creature without flying and each player.	Magmasaur	
	Tap all blue creatures. Their controllers may pay 4 for each creature to untap it. If they don't, the creature doesn't untap during their next untap phase.	Magnetic Mountain	
	Whenever a creature attacks this turn, all creatures attack if able. Whenever a creature attacks this turn, all creatures block that creature if able.	Magnetic Web	
	Target creature you control has power and toughness each equal to the number of sorcery cards in all graveyards.	Magnivore	
	Untap target artifact an opponent controls and gain control of it this turn. If it's an artifact creature, it gains haste this turn. When you lose control of the artifact, tap it.	Magus of the Unseen	
	Create a 5/6 blue Djinn creature token with flying.	Mahamoti Djinn	
	Whenever a green spell is played this turn, untap target permanent.	Malachite Talisman	
	Draw 1d6 cards, then Chaos deals damage to you equal to the number of cards you drew this way.	Malignant Growth	
	Target untapped creature loses flying this turn. If that creature blocks or becomes blocked by a creature, the other creature gains first strike this combat.	Mammoth Harness	
	Whenever a player plays a spell this turn, that player returns a land he or she controls to its owner's hand.	Mana Breach	
	Sacrifice target creature unless you pay 1d6 mana.	Mana Chains	
	You and target opponent each roll 1d6. Chaos deals 1 damage to each player whose roll is odd. Repeat this process until both players' rolls come up even on the same roll.	Mana Clash	
